Install Date,Unit Number,Marina Name,Seabin Address,City,State,Seabin Country,Latitude N/S,Longitude E/W
1/3/2021,2,Porto Cristo,2 C/ Velas 29 (07680),Palma de Mallorca,Balearic Islands,Spain,39.53852,3.331678
1/2/2021,1,Porto Cristo,1 C/ Velas 29 (07680),Palma de Mallorca,Balearic Islands,Spain,39.540425,3.33216
1/6/2021,1,Club Nautico Santa Pon�a,"Via de La Cruz, 46 07180 Santa Pon�a",Palma,Balearic Island,Spain,39.511694,2.466639
1/5/2021,2,Marina Port de Mallorca,2 Paseo Maritimo s/n (frente al Hotel Gran Victoria)07014 Palma de Mallorca,Palma de Mallorca,Balearic Islands,Spain,39.5628452,2.63002486
4/4/2021,2,Palma Cuarantena,2 Paseo Maritimo s/n (frente al Hotel Gran Victoria)07014 Palma de Mallorca,Palma de Mallorca,Balearic Islands,Spain,39.56008635,2.62716433
15/3/2021,1,Palma Cuarentena,1 Paseo Maritimo s/n (frente al Hotel Gran Victoria)07014 Palma de Mallorca,Palma de Mallorca,Balearic Islands,Spain,39.5615635,2.6277887
1/2/2021,1,Colonia Sant Jordi,C/ Moll pescadors s/n,Palma de Mallorca,Balearic Islands,Spain,39.315361,2.998472
1/12/2020,1,Naviera Balear s.l.,1 Av. de Gabriel Roca s/n ( enfrente hotel Tryp Bellver) 07014.Palma.,Palma,Balearic Islands,Spain,39.5677631,2.631933
1/12/2020,2,Naviera Balear s.l.,2 Av. de Gabriel Roca s/n ( enfrente hotel Tryp Bellver) 07014.Palma.,Palma,Balearic Islands,Spain,39.5678582,2.6320953
1/12/2020,3,Naviera Balear s.l.,3 Av. de Gabriel Roca s/n ( enfrente hotel Tryp Bellver) 07014.Palma.,Palma,Balearic Island,Spain,39.567808,2.6321154
1/12/2020,4,Naviera Balear s.l.,4 Av. de Gabriel Roca s/n ( enfrente hotel Tryp Bellver) 07014.Palma.,Palma,Balearic Island,Spain,39.567782,2.632057
1/12/2020,5,Naviera Balear s.l.,5 Av. de Gabriel Roca s/n ( enfrente hotel Tryp Bellver) 07014.Palma.,Palma,Balearic Island,Spain,39.5673805,2.632442
1/12/2020,6,Naviera Balear s.l.,Av. de Gabriel Roca s/n ( enfrente hotel Tryp Bellver) 07014.Palma.,Palma,Balearic Island,Spain,39.5673513,2.6324933
8/9/2020,1,Pasaia de San Pedro/ Barco Mater Museo,"Calle Arraularia, s/n 20110","Guipuzcoa, Pasaia de San Pedro",Gipuzcoa,Spain,43.325033,-1.922728
10/7/2020,1,Port Ibiza,"Lluis Tur i Palau, 07800,  Port Ibiza MagnaEivissa (07800)",Ibiza,Balearic Islands,Spain,38.910596,1.435634
2/5/2020,1,"Port Ciudadela, Menorca","1 Passeig Moll Comercial s/n , Port Ciudatadella, Ciutadella (07760) Menorca",Ciutadella de Menorca,Balearic Islands,Spain,40.00075,3.832167
2/5/2020,2,"Port Ciudadela, Menorca","2 Passeig Moll Comercial s/n , Port Ciudatadella, Ciutadella (07760) Menorca",Ciutadella de Menorca,Balearic Islands,Spain,40.001111,3.833194
2/5/2020,3,"Port Ciudadela, menorca","3 Passeig Moll Comercial s/n , Port Ciudatadella, Ciutadella (07760) Menorca",Ciutadella de Menorca,Balearic Islands,Spain,40.001139,3.834028
26/6/2019,2,Club de Mar,2 Muelle Pelaires s/n -Port Club de Mar -07015 Palma de Mallorca,Palma,Balearic Islands,Spain,39.556858,2.628327
1/5/2019,1,MB92 Barcelona,"1 Passeig Joan de Borb�, 92, 08039",Barcelona,Catalonia,Spain,41.372304,2.187379
1/5/2019,2,MB92 Barcelona,"2 Passeig Joan de Borb�, 92, 08039",Barcelona,Catalonia,Spain,41.373137,2.187508
18/1/2019,1,Marina Port de Mallorca,Paseo Maritimo s/n (frente al Hotel Gran Victoria)07014 Palma de Mallorca,Palma,Illes Balears,Spain,39.563291,2.628242
21/11/2018,1,Club de Mar,1 Muelle Pelaires s/n -Port Club de Mar -07015 Palma de Mallorca,Palma,Balearic Islands,Spain,39.554167,2.626111
11/7/2018,1,Department Of The Environment,department-of-the-environment,,,Spain,36.140834,-5.358403
